Experiment,exp_name,species,nfert,ozone,burn,soil,water,heat,Citation,Sample date,Proxy type,Soil depth,Unit,aCO2,eCO2,Description of data source,myc
JRGCE,,,lo,,n,n,n,n,"Dukes et al. 2005; Shaw et al. 2002; Henry et al., JR Database",2004,NPP,N/A,g/m2,840.2,433.6,pers. comm.,am
JRGCE,,,lo,,n,n,n,n,"Dukes et al. 2005; Shaw et al. 2002; Henry et al., JR Database",2006,NPP,N/A,g/m2,452.5,559.4,pers. comm.,am
JRGCE,,,lo,,y,n,n,n,"Dukes et al. 2005; Shaw et al. 2002; Henry et al., JR Database",2000,NPP,N/A,g/m2,1020.8,665.9,pers. comm.,am
JRGCE,,,lo,,y,n,n,n,"Dukes et al. 2005; Shaw et al. 2002; Henry et al., JR Database",2001,NPP,N/A,g/m2,927.1,715.1,pers. comm.,am
JRGCE,,,lo,,y,n,n,n,"Dukes et al. 2005; Shaw et al. 2002; Henry et al., JR Database",2004,NPP,N/A,g/m2,572.6,781.9,pers. comm.,am
JRGCE,,,lo,,y,n,n,n,"Dukes et al. 2005; Shaw et al. 2002; Henry et al., JR Database",2006,NPP,N/A,g/m2,657.7,449.8,pers. comm.,am
JRGCE,,,hi,,n,n,n,n,"Dukes et al. 2005; Shaw et al. 2002; Henry et al., JR Database",2000,NPP,N/A,g/m2,971.5,1022.4,pers. comm.,am
JRGCE,,,hi,,n,n,n,n,"Dukes et al. 2005; Shaw et al. 2002; Henry et al., JR Database",2001,NPP,N/A,g/m2,1029.4,968.7,pers. comm.,am
JRGCE,,,hi,,n,n,n,n,"Dukes et al. 2005; Shaw et al. 2002; Henry et al., JR Database",2004,NPP,N/A,g/m2,938.9,669.2,pers. comm.,am
JRGCE,,,hi,,n,n,n,n,"Dukes et al. 2005; Shaw et al. 2002; Henry et al., JR Database",2006,NPP,N/A,g/m2,554.8,482.4,pers. comm.,am
JRGCE,,,hi,,y,n,n,n,"Dukes et al. 2005; Shaw et al. 2002; Henry et al., JR Database",2000,NPP,N/A,g/m2,1032.5,709.9,pers. comm.,am
JRGCE,,,hi,,y,n,n,n,"Dukes et al. 2005; Shaw et al. 2002; Henry et al., JR Database",2001,NPP,N/A,g/m2,1147.8,969.3,pers. comm.,am
JRGCE,,,hi,,y,n,n,n,"Dukes et al. 2005; Shaw et al. 2002; Henry et al., JR Database",2004,NPP,N/A,g/m2,1346.9,1128.8,pers. comm.,am
JRGCE,,,hi,,y,n,n,n,"Dukes et al. 2005; Shaw et al. 2002; Henry et al., JR Database",2006,NPP,N/A,g/m2,719.2,441.1,pers. comm.,am
JRGCE,,,lo,,n,n,y,n,"Dukes et al. 2005; Shaw et al. 2002; Henry et al., JR Database",2000,NPP,N/A,g/m2,804.9,859.6,pers. comm.,am
JRGCE,,,lo,,n,n,y,n,"Dukes et al. 2005; Shaw et al. 2002; Henry et al., JR Database",2001,NPP,N/A,g/m2,787.3,845.9,pers. comm.,am
JRGCE,,,lo,,n,n,y,n,"Dukes et al. 2005; Shaw et al. 2002; Henry et al., JR Database",2004,NPP,N/A,g/m2,1026.5,797.2,pers. comm.,am
